City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
654,Banda Aceh,ID,80.35,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
655,Florianopolis,BR,75.56,broken clouds,-27.6146,-48.5012,Hotel Boutique Quinta das Videiras
660,Lingao,CN,77.65,clear sky,19.9103,109.6859,Lingao Ditai Inn
661,Soyo,AO,78.39,light rain,-6.1349,12.3689,Hotel Mpampa
670,Kharan,PK,86.18,clear sky,28.5833,65.4167,Dil Aram Bangla
674,Ramona,US,86.16,clear sky,33.0417,-116.8681,Ramona Terrace Estates
679,Tefe,BR,86.11,moderate rain,-3.3542,-64.7114,Aracati Hotel
684,Kattivakkam,IN,86.09,broken clouds,13.2167,80.3167,Euronova Freezer
685,Ruwi,OM,89.29,broken clouds,23.5996,58.5507,Al Falaj Hotel
690,Amahai,ID,78.15,broken clouds,-3.3333,128.9167,HOTEL ISABELA
693,Sulangan,PH,81.72,overcast clouds,11.1373,123.7228,Maia's Beach Resort
