City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
220,Port Hardy,CA,2022-04-16 17:53:31,50.6996,-127.4199,42.98,70,40,4.61
221,Mehamn,NO,2022-04-16 17:57:35,71.0357,27.8492,38.59,95,100,34.45
222,Leeton,AU,2022-04-16 17:57:35,-34.5667,146.4,55.45,71,8,3.44
223,Rawson,AR,2022-04-16 17:58:36,-43.3002,-65.1023,60.96,54,5,12.93
224,Chapais,CA,2022-04-16 17:58:36,49.7834,-74.8492,31.78,74,99,11.68
225,Batak,BG,2022-04-16 17:58:36,41.95,24.2167,47.44,89,99,2.77
226,Lorengau,PG,2022-04-16 17:58:37,-2.0226,147.2712,80.6,80,91,4.41
227,Hovd,MN,2022-04-16 17:58:37,48.0056,91.6419,42.03,15,0,3.94
228,Bahraich,IN,2022-04-16 17:58:37,27.5833,81.6,84.4,13,0,7.02
229,Souillac,MU,2022-04-16 17:58:38,-20.5167,57.5167,77.38,78,40,10.36
230,Marsa Matruh,EG,2022-04-16 17:58:30,31.3525,27.2453,68.2,60,95,13.8
231,Pando,UY,2022-04-16 17:58:38,-34.7167,-55.95,71.69,56,40,10.36
232,Mount Darwin,ZW,2022-04-16 17:58:39,-16.7725,31.5838,75.45,55,88,7.9
233,Tuatapere,NZ,2022-04-16 17:58:39,-46.1333,167.6833,41.72,89,88,3.83
234,La Ronge,CA,2022-04-16 17:58:39,55.1001,-105.2842,28.62,36,75,8.05
235,Washington,US,2022-04-16 17:56:06,47.5001,-120.5015,41.18,63,100,1.3
236,Bud,US,2022-04-16 17:58:40,39.447,-86.1758,60.4,47,60,13.44
237,Roald,NO,2022-04-16 17:58:40,62.5833,6.1333,52.72,76,0,3.44
238,Osmena,PH,2022-04-16 17:58:41,10.5208,119.9258,80.82,76,58,5.1
239,Det Udom,TH,2022-04-16 17:58:41,14.906,105.0784,84.94,71,97,6.85
240,Ayan,RU,2022-04-16 17:58:42,56.45,138.1667,19.24,83,91,9.31
241,Sao Joao Da Barra,BR,2022-04-16 17:58:42,-21.6403,-41.0511,80.69,61,37,16.4
242,Oriximina,BR,2022-04-16 17:58:42,-1.7656,-55.8661,81.9,82,100,3.49
243,Hayden,US,2022-04-16 17:57:17,47.766,-116.7866,42.49,59,100,8.99
244,Lavrentiya,RU,2022-04-16 17:58:43,65.5833,-171.0,25.48,96,100,9.95
245,Tanout,NE,2022-04-16 17:58:43,14.9709,8.8879,94.75,13,76,9.8
246,Valleyview,CA,2022-04-16 17:58:44,55.0667,-117.2859,32.04,55,100,4.61
247,Yushan,CN,2022-04-16 17:58:44,31.3776,120.9543,53.98,70,96,3.11
248,Sampit,ID,2022-04-16 17:58:44,-2.5333,112.95,73.17,95,100,1.7
249,Severo-Kurilsk,RU,2022-04-16 17:58:45,50.6789,156.125,30.69,86,100,20.89
250,Cabedelo,BR,2022-04-16 17:58:45,-6.9811,-34.8339,88.47,73,57,10.13
251,Abbeville,FR,2022-04-16 17:58:46,50.1,1.8333,62.56,74,2,7.4
252,Ribeira Grande,PT,2022-04-16 17:58:46,38.5167,-28.7,64.8,68,40,4.61
253,Launceston,AU,2022-04-16 17:58:47,-41.45,147.1667,59.14,92,40,0.0
254,Jasper,US,2022-04-16 17:58:47,37.2001,-94.3502,54.95,42,99,10.0
255,Oktyabrskiy,RU,2022-04-16 17:58:47,54.4815,53.471,35.4,76,68,2.95
256,Muisne,EC,2022-04-16 17:58:48,0.6,-80.0333,80.65,77,97,10.27
257,Litovko,RU,2022-04-16 17:58:48,49.2361,135.1742,29.93,90,33,5.44
258,Raudeberg,NO,2022-04-16 17:58:49,61.9875,5.1352,47.07,70,100,20.69
259,Iqaluit,CA,2022-04-16 17:58:49,63.7506,-68.5145,6.53,77,75,0.0
260,Ust-Omchug,RU,2022-04-16 17:58:49,61.15,149.6333,-8.84,100,76,1.77
261,Diffa,NE,2022-04-16 17:58:50,13.3154,12.6113,95.67,20,79,3.51
262,Eseka,CM,2022-04-16 17:58:50,3.65,10.7667,78.33,83,74,2.3
263,Saint-Augustin,CA,2022-04-16 17:58:50,51.226,-58.6502,32.72,99,100,11.5
264,Vagamo,NO,2022-04-16 17:58:51,61.8751,9.0967,38.43,88,44,2.24
265,Yar-Sale,RU,2022-04-16 17:58:51,66.8333,70.8333,14.83,90,100,17.11
266,Itacarambi,BR,2022-04-16 17:58:52,-15.1022,-44.0919,83.12,63,96,4.5
267,Alexandria,EG,2022-04-16 17:56:51,31.2156,29.9553,78.76,36,0,6.91
268,Sonoita,MX,2022-04-16 17:58:52,31.85,-112.8333,80.94,9,98,11.74
269,Padre Paraiso,BR,2022-04-16 17:58:07,-17.0742,-41.4844,67.05,89,100,4.99
270,Harwich,GB,2022-04-16 17:59:53,51.9419,1.2844,56.34,74,7,7.0
271,Greenville,US,2022-04-16 17:56:38,35.6127,-77.3663,70.12,69,100,10.36
272,Kamaishi,JP,2022-04-16 17:59:53,39.2667,141.8833,38.84,79,0,8.37
273,Caohai,CN,2022-04-16 17:59:54,26.8661,104.2841,42.31,93,100,3.58
274,Yarmouth,US,2022-04-16 17:59:01,41.7057,-70.2286,62.65,73,100,11.99
275,Zhangye,CN,2022-04-16 17:59:54,38.9342,100.4517,43.83,23,81,7.52
276,Tha Chang,TH,2022-04-16 17:59:54,9.2642,99.1922,78.91,83,73,4.25
277,Bathsheba,BB,2022-04-16 17:59:55,13.2167,-59.5167,84.81,61,20,23.02
278,Aktash,RU,2022-04-16 17:59:55,50.3,87.7333,25.52,56,0,4.16
279,Mitsamiouli,KM,2022-04-16 17:59:56,-11.3847,43.2844,82.49,75,14,4.92
280,Lima,PE,2022-04-16 17:57:55,-12.0432,-77.0282,69.39,74,20,8.05
281,Hualmay,PE,2022-04-16 17:59:56,-11.0964,-77.6139,71.6,72,80,12.01
282,Rocha,UY,2022-04-16 17:59:57,-34.4833,-54.3333,68.72,54,81,6.33
283,Mareeba,AU,2022-04-16 17:55:49,-17.0,145.4333,70.52,98,96,2.55
284,Sidi Ali,DZ,2022-04-16 17:59:43,36.0998,0.4206,59.43,66,0,3.91
285,Isangel,VU,2022-04-16 17:55:45,-19.55,169.2667,78.96,82,15,4.83
286,Udachnyy,RU,2022-04-16 17:59:57,66.4167,112.4,26.46,79,100,10.09
287,Vyartsilya,RU,2022-04-16 17:59:58,62.1764,30.693,29.21,91,95,2.33
288,Tadine,NC,2022-04-16 17:59:58,-21.55,167.8833,76.59,85,1,7.56
289,Thaton,MM,2022-04-16 17:59:59,16.9206,97.3714,83.08,77,35,4.14
290,Broken Hill,AU,2022-04-16 17:59:59,-31.95,141.4333,64.11,42,0,8.05
291,Urumqi,CN,2022-04-16 17:59:59,43.801,87.6005,49.15,20,0,6.71
292,Maniitsoq,GL,2022-04-16 18:00:00,65.4167,-52.9,24.82,56,20,5.84
293,Farmington,US,2022-04-16 17:57:28,36.7281,-108.2187,69.78,13,5,1.99
294,Megion,RU,2022-04-16 18:00:01,61.0296,76.1136,35.62,87,95,14.14
